model_type,pretrained_seed,fold,downstream_seed,LR,weight_decay,best_epoch,val_ECE_mean,val_auprc_mean,val_auroc_mean,val_average_precision_mean,val_balanced_accuracy_mean,val_f1_mean,val_loss,val_mcc_mean,val_optimal_threshold_mean,val_pos_lr_mean,val_ppv_mean,val_precision_mean,val_recall_mean,val_sensitivity_mean,val_specificity_mean,val_supervised_loss
Soft_Clip_with_Frozen_Teacher,0,3,0,0.0001,0.0,14,0.1373978853225708,0.792701780796051,0.6136363744735718,0.792701780796051,0.6037595868110657,0.7720929980278015,0.6628783941268921,0.2089441567659378,0.5526822805404663,1.3652336597442627,0.7685185074806213,0.7685185074806213,0.7757009267807007,0.7757009267807007,0.4318181872367859,0.6628783941268921
Soft_Clip_with_Frozen_Teacher,0,3,0,0.0001,0.01,24,0.11002364754676819,0.825802743434906,0.6423109769821167,0.825802743434906,0.6212829351425171,0.6629834175109863,0.6532905697822571,0.22048886120319366,0.7491751909255981,1.7623498439788818,0.8108108043670654,0.8108108043670654,0.5607476830482483,0.5607476830482483,0.6818181872367859,0.6532905697822571
Soft_Clip_with_Frozen_Teacher,0,3,0,0.0001,0.1,25,0.10698694735765457,0.7996022701263428,0.6355140209197998,0.7996022701263428,0.6385939121246338,0.728205144405365,0.6425919532775879,0.25543516874313354,0.6329984664916992,1.717427134513855,0.8068181872367859,0.8068181872367859,0.663551390171051,0.663551390171051,0.6136363744735718,0.6425919532775879
Soft_Clip_with_Frozen_Teacher,0,3,0,0.0001,1.0,13,0.13119183480739594,0.8073303699493408,0.6200084686279297,0.8073303699493408,0.6172472238540649,0.6844919919967651,0.6392866373062134,0.2134895771741867,0.6644744277000427,1.644859790802002,0.800000011920929,0.800000011920929,0.5981308221817017,0.5981308221817017,0.6363636255264282,0.6392866373062134
Soft_Clip_with_Frozen_Teacher,0,3,0,1e-05,0.0,195,0.10577361285686493,0.7692738175392151,0.5779524445533752,0.7692738175392151,0.5931393504142761,0.713567852973938,0.6881849765777588,0.17348480224609375,0.6399052143096924,1.3902981281280518,0.77173912525177,0.77173912525177,0.663551390171051,0.663551390171051,0.5227272510528564,0.6881849765777588
Soft_Clip_with_Frozen_Teacher,0,3,0,1e-05,0.01,216,0.11997265368700027,0.7574500441551208,0.5669074058532715,0.7574500441551208,0.571792721748352,0.6701570749282837,0.7005747556686401,0.13132621347904205,0.6752653121948242,1.3158878087997437,0.761904776096344,0.761904776096344,0.5981308221817017,0.5981308221817017,0.5454545617103577,0.7005747556686401
Soft_Clip_with_Frozen_Teacher,0,3,0,1e-05,0.1,225,0.10947495698928833,0.7804378271102905,0.5913339257240295,0.7804378271102905,0.5780586004257202,0.35820895433425903,0.6735605597496033,0.1851298213005066,0.8724014759063721,3.289719581604004,0.8888888955116272,0.8888888955116272,0.22429905831813812,0.22429905831813812,0.9318181872367859,0.6735605597496033
Soft_Clip_with_Frozen_Teacher,0,3,0,1e-05,1.0,130,0.13055984675884247,0.771543025970459,0.582837700843811,0.771543025970459,0.5817757248878479,0.7099999785423279,0.6824405789375305,0.15279777348041534,0.6277418732643127,1.327102780342102,0.7634408473968506,0.7634408473968506,0.663551390171051,0.663551390171051,0.5,0.6824405789375305
Soft_Clip_with_Frozen_Teacher,0,3,0,0.0005,0.0,20,0.1260727047920227,0.7967983484268188,0.621920108795166,0.7967983484268188,0.6205394864082336,0.7272727489471436,0.650557279586792,0.22386248409748077,0.6526790261268616,1.5582882165908813,0.791208803653717,0.791208803653717,0.672897219657898,0.672897219657898,0.5681818127632141,0.650557279586792
Soft_Clip_with_Frozen_Teacher,0,3,0,0.0005,0.01,2,0.1142023503780365,0.8325554132461548,0.6758708357810974,0.8325554132461548,0.6520815491676331,0.6227545142173767,0.6182388663291931,0.28244146704673767,0.7290242314338684,2.6728971004486084,0.8666666746139526,0.8666666746139526,0.4859813153743744,0.4859813153743744,0.8181818127632141,0.6182388663291931
