feature,roc_auc,pr_auc,accuracy,f1,balanced_accuracy,matthews_corrcoef,sensitivity,specificity,precision,pos_LR,sensitivity_at_spec100
GNN_Soft_Clip_with_Teacher_seed0_GNN,0.679659624122011,0.7248006326525216,0.6436941293588775,0.6935571983950084,0.6320674050188113,0.2658318514660503,0.6837633348619305,0.580371475175692,0.7104028809900765,1.6828401011212213,0.02154902011434991
GNN_Soft_Clip_with_Teacher_seed0_first_fc,0.6822138841438093,0.7343630374786327,0.6471598675382688,0.6950372314081273,0.6372225912124169,0.27407161095459676,0.6805796804091441,0.5938655020156898,0.7157454809928678,1.713121788811555,0.028918306023656148
GNN_Soft_Clip_with_Teacher_seed0_second_fc,0.6467591096849534,0.7081056389197865,0.621009964689624,0.6703012468709888,0.6119573339977576,0.22326008979918627,0.6523746184689163,0.571540049526599,0.6950313260678195,1.547838815344972,0.012691276513359996
GNN_Soft_Clip_with_Teacher_seed1_GNN,0.6622499578724897,0.7113363203997938,0.6430467536645428,0.7007155352385733,0.6287723729338821,0.26154426823711424,0.7066826262079402,0.550862119659824,0.7052276060644411,1.640288301220492,0.03210347622579407
GNN_Soft_Clip_with_Teacher_seed1_first_fc,0.6704518175577769,0.7222824146918501,0.6400560081434429,0.68404111384339,0.6317573899514162,0.26298401799327065,0.6612573402688632,0.6022574396339693,0.7147346711597371,1.7013408844603604,0.025223061918308233
GNN_Soft_Clip_with_Teacher_seed1_second_fc,0.6355738364452491,0.6990146190609916,0.6216425891550839,0.6795695651025483,0.6035952417379559,0.2108634651695552,0.6821085312736322,0.5250819522022796,0.6856264199314108,1.485994666363089,0.023425071495946838
GNN_Soft_Clip_with_Teacher_seed2_GNN,0.6711510679669961,0.7200291541550314,0.6430716626819458,0.6857653693998617,0.6357409860031495,0.2707840820609273,0.6597664015936218,0.6117155704126772,0.7195179745219026,1.7477500362449327,0.029230272831806327
GNN_Soft_Clip_with_Teacher_seed2_first_fc,0.6892377178137551,0.7413024376604765,0.6496479581917544,0.703507933543699,0.6368150840549706,0.2732092418104045,0.698645507584639,0.5749846605253022,0.7105685107932496,1.6670986387528228,0.03038177072671276
GNN_Soft_Clip_with_Teacher_seed2_second_fc,0.664835860457333,0.7314144719060925,0.6360542662884094,0.6805764363138915,0.6258053576167106,0.2518156211947795,0.6600163194141534,0.591594395819268,0.7086399331413302,1.6467132490358372,0.054258791215700125
GNN_Soft_Clip_with_Teacher_with_centering_seed0_GNN,0.6865937751724083,0.7297489032640853,0.6607529775073524,0.7099080768190814,0.6452713419666963,0.2957942151800274,0.710406089950749,0.5801365939826437,0.7186227100185271,1.74210303605597,0.02407706057745499
GNN_Soft_Clip_with_Teacher_with_centering_seed0_first_fc,0.69583820121828,0.742893668069534,0.6488593855856617,0.6959784865220144,0.6385837642420724,0.2760384677606952,0.6782688837032977,0.5988986447808469,0.7179612217550111,1.7254759686562706,0.028443146722895638
GNN_Soft_Clip_with_Teacher_with_centering_seed0_second_fc,0.669644797635875,0.7198920929159378,0.631261434248537,0.6767546795466245,0.6261317879257596,0.2527489215960985,0.6561280210872734,0.5961355547642458,0.7104072307112957,1.6895341501730308,0.015420874722488471
GNN_Soft_Clip_with_Teacher_with_centering_seed1_GNN,0.6618679267295202,0.7089784478950415,0.6382147075506944,0.6969514227078766,0.6211585857607761,0.2465991511847011,0.7051281238727353,0.537189047648817,0.6967099429542943,1.5604114279167782,0.015418744371525038
GNN_Soft_Clip_with_Teacher_with_centering_seed1_first_fc,0.6872986935390568,0.7273602481189204,0.6502894669970377,0.7017086878527914,0.6400612108564359,0.2792130106364492,0.6930408805630366,0.5870815411498351,0.715101531088161,1.7058506342404387,0.016249717114312306
GNN_Soft_Clip_with_Teacher_with_centering_seed1_second_fc,0.6540794940082943,0.7199560185916962,0.6193496210666574,0.6741546259450963,0.6073493095511212,0.21468069585834607,0.6645327166440629,0.5501659024581794,0.6901997467387951,1.5121598910095282,0.039764873967645886
GNN_Soft_Clip_with_Teacher_with_centering_seed2_GNN,0.6684835316708688,0.7274319593875053,0.6434225459188412,0.7023274153325317,0.6225116315858777,0.2516200815646132,0.7142888260818421,0.5307344370899135,0.6993221012776002,1.5885576178796195,0.032851720337471024
GNN_Soft_Clip_with_Teacher_with_centering_seed2_first_fc,0.6835263627307449,0.7385241901081097,0.6393404994806351,0.6879088246524581,0.6296714098943773,0.25861755019997196,0.6708512954888226,0.5884915242999318,0.7110165776132569,1.6695302808768753,0.027253231547606446
GNN_Soft_Clip_with_Teacher_with_centering_seed2_second_fc,0.6506496898782609,0.7056576768198133,0.63509117020806,0.6922862460650164,0.6152182603460148,0.2357286808844567,0.7003739563425024,0.5300625643495271,0.6919435100833149,1.515474404960709,0.02625613642229985
GNN_Vanilla_Clip_with_VAE_seed0_GNN,0.6818069681284159,0.7332429494087686,0.6447714335431237,0.699441941848329,0.6289840124489239,0.2626118501611882,0.7008254881168544,0.5571425367809932,0.7066474239743289,1.6505385063585982,0.029370785078929727
GNN_Vanilla_Clip_with_VAE_seed0_first_fc,0.7094361685570343,0.7542157903525267,0.6575718752413703,0.6988721703017207,0.6531663823567172,0.30236952017599245,0.6685937781283822,0.6377389865850521,0.7353398922883198,1.8998965181172813,0.023684619074387996
