roc_auc,pr_auc,accuracy,f1,balanced_accuracy,matthews_corrcoef,sensitivity,specificity,precision,pos_LR,sensitivity_at_spec100,fold,n_train,n_val,threshold,best_penalty,best_C,best_solver,best_inner_score,feature,seed
0.6195410238698288,0.6790052657744936,0.5782608695652174,0.6104417670682731,0.5767518612326349,0.1525061958330386,0.5891472868217055,0.5643564356435643,0.6333333333333333,1.3523608174770965,0.0,4,637,230,0.510293222336903,l2,0.1,liblinear,0.6568255280196887,ChemBERTa-MTR,0
0.65,0.7409769780542799,0.5935483870967742,0.6440677966101694,0.5916666666666667,0.1789000682948612,0.6,0.5833333333333334,0.6951219512195121,1.4400000000000002,0.0736842105263157,5,712,155,0.4916204432534127,l2,0.1,liblinear,0.6675172980247513,ChemBERTa-MTR,0
0.6204819277108434,0.6640932370976251,0.5191256830601093,0.4567901234567901,0.5343975903614457,0.0723616618314468,0.37,0.6987951807228916,0.5967741935483871,1.2284000000000002,0.01,1,684,183,0.5355476139415574,l2,1.0,liblinear,0.6626940543596233,ChemBERTa-MTR,1
0.6672126672126673,0.6890717826787689,0.6589595375722543,0.728110599078341,0.6354763854763855,0.2878755001671637,0.797979797979798,0.4729729729729729,0.6694915254237288,1.5141155141155145,0.0,2,694,173,0.4992555468948649,l2,0.01,liblinear,0.6416045355685103,ChemBERTa-MTR,1
0.6601204128440367,0.7735080651238976,0.6473988439306358,0.7239819004524887,0.6169724770642202,0.2363975599971405,0.7339449541284404,0.5,0.7142857142857143,1.4678899082568808,0.073394495412844,3,694,173,0.4917028568521709,l2,0.1,lbfgs,0.6617497765483441,ChemBERTa-MTR,1
0.5761542792792793,0.6727862172541508,0.6342857142857142,0.7288135593220338,0.5826998873873874,0.1763381911488763,0.7747747747747747,0.390625,0.688,1.2714252714252714,0.0,4,692,175,0.4957286716634823,l2,0.01,liblinear,0.6661475898954616,ChemBERTa-MTR,1
0.6702592939706342,0.6960597323503324,0.6196319018404908,0.696078431372549,0.5932521087160262,0.1927793845923629,0.7319587628865979,0.4545454545454545,0.6635514018691588,1.3419243986254297,0.0,5,704,163,0.497093367257179,l2,0.01,liblinear,0.6529151205191408,ChemBERTa-MTR,1
0.6675339366515837,0.7197762762313196,0.6084656084656085,0.6782608695652174,0.5926470588235294,0.1955384722187607,0.75,0.4352941176470588,0.6190476190476191,1.328125,0.0384615384615384,1,678,189,0.485989757118125,l2,0.01,liblinear,0.6513029945875448,ChemBERTa-MTR,2
0.6342857142857142,0.6949485932718455,0.5666666666666667,0.6388888888888888,0.5485714285714286,0.0985031500635172,0.6571428571428571,0.44,0.6216216216216216,1.173469387755102,0.0285714285714285,2,747,120,0.5117246706238826,l2,0.01,liblinear,0.6461865565075382,ChemBERTa-MTR,2
0.6527572016460905,0.7089941967369908,0.6133333333333333,0.6741573033707865,0.6,0.1989709597284218,0.6666666666666666,0.5333333333333333,0.6818181818181818,1.4285714285714284,0.0,3,642,225,0.4676130049089084,l2,1.0,lbfgs,0.6265129695806876,ChemBERTa-MTR,2
0.6571691176470589,0.7409140573670383,0.5783132530120482,0.6428571428571429,0.5666360294117647,0.1308877507875206,0.6176470588235294,0.515625,0.6702127659574468,1.2751423149905123,0.0490196078431372,4,701,166,0.5146836407850092,l2,0.1,liblinear,0.638985758656976,ChemBERTa-MTR,2
0.6119815668202765,0.7341398517116273,0.6287425149700598,0.7075471698113207,0.599078341013825,0.199540796746689,0.7142857142857143,0.4838709677419355,0.7009345794392523,1.3839285714285714,0.0380952380952381,5,700,167,0.4858909601123446,l2,0.1,liblinear,0.6438424888130778,ChemBERTa-MTR,2
0.59,0.6622815385372134,0.5923076923076923,0.6442953020134228,0.59,0.1754741057710541,0.6,0.58,0.6956521739130435,1.4285714285714284,0.0,1,737,130,0.5319648133880585,l2,0.1,liblinear,0.6695521298307835,ChemBERTa-MTR,4
0.6560250391236306,0.7671702574068933,0.5948275862068966,0.6713286713286714,0.5713615023474179,0.1433299089408206,0.676056338028169,0.4666666666666667,0.6666666666666666,1.267605633802817,0.0985915492957746,2,751,116,0.4862818657886414,l2,1.0,liblinear,0.6444921842971778,ChemBERTa-MTR,4
0.6497058823529411,0.6480894224741001,0.5979020979020979,0.6254071661237784,0.595735294117647,0.1921641963044496,0.64,0.5514705882352942,0.6114649681528662,1.4268852459016397,0.0,3,581,286,0.5122425307047136,l2,0.01,liblinear,0.6500671958943585,ChemBERTa-MTR,4
0.6794314381270904,0.8089959331794654,0.6407185628742516,0.7222222222222222,0.6179765886287625,0.2234826266513723,0.6782608695652174,0.5576923076923077,0.7722772277227723,1.5334593572778827,0.0347826086956521,4,700,167,0.5196118265736773,l2,0.1,liblinear,0.6183327159500874,ChemBERTa-MTR,4
0.63,0.6704532173944364,0.6071428571428571,0.65625,0.601764705882353,0.2007155056990498,0.63,0.5735294117647058,0.6847826086956522,1.4772413793103447,0.0,5,699,168,0.540858104726848,l1,1.0,liblinear,0.6319025175588048,ChemBERTa-MTR,4
0.6799533799533799,0.7194224027705339,0.6542553191489362,0.7058823529411765,0.643006993006993,0.2865656046286947,0.7090909090909091,0.5769230769230769,0.7027027027027027,1.6760330578512397,0.009090909090909,1,679,188,0.5126996338895462,l2,0.1,liblinear,0.653707445566365,ChemBERTa-MTR,3
0.6717692081248161,0.7621661770539306,0.5901639344262295,0.647887323943662,0.5934648219016779,0.178702106256483,0.5822784810126582,0.6046511627906976,0.7301587301587301,1.4728220402084884,0.0126582278481012,2,745,122,0.5155522832011498,l2,0.1,liblinear,0.61534468270522,ChemBERTa-MTR,3
0.6370870870870871,0.7472850817329205,0.6198830409356725,0.6859903381642513,0.6114864864864865,0.21444853852539,0.6396396396396397,0.5833333333333334,0.7395833333333334,1.5351351351351352,0.036036036036036,3,696,171,0.4971752242901274,l2,0.1,liblinear,0.6565662625120207,ChemBERTa-MTR,3
0.6226664901363697,0.662162099157161,0.5919540229885057,0.6467661691542289,0.5860585197934596,0.1782778058539102,0.7142857142857143,0.4578313253012048,0.5909090909090909,1.3174603174603172,0.0659340659340659,4,693,174,0.5111914322020921,l2,0.01,liblinear,0.6466446151825035,ChemBERTa-MTR,3
0.6899310344827587,0.735747908325363,0.6226415094339622,0.6428571428571429,0.6328275862068966,0.2619244797670293,0.576,0.6896551724137931,0.7272727272727273,1.856,0.016,5,655,212,0.5208156823445597,l2,1.0,liblinear,0.6472280977699851,ChemBERTa-MTR,3
0.7083333333333335,0.7690599627511764,0.6639344262295082,0.7132867132867133,0.6570945945945945,0.3096458300980509,0.6891891891891891,0.625,0.7391304347826086,1.8378378378378375,0.0405405405405405,1,745,122,0.5045010152452623,l2,0.1,liblinear,0.7080426650891851,ECFP_1024_2,0
0.6863888888888889,0.728352278338003,0.696,0.7682926829268293,0.6604166666666667,0.3280191224844173,0.7875,0.5333333333333333,0.75,1.6875,0.0125,2,742,125,0.4915336722633786,l2,0.01,liblinear,0.7008184972320834,ECFP_1024_2,0
0.6926266248319138,0.7262913555372281,0.6553191489361702,0.7272727272727273,0.6284177498879426,0.2703180859885324,0.782608695652174,0.4742268041237113,0.6792452830188679,1.4884910485933505,0.0289855072463768,3,632,235,0.4954821707987372,l2,0.01,liblinear,0.6832452571005025,ECFP_1024_2,0
0.6423747025865378,0.6771522530688971,0.5869565217391305,0.6058091286307054,0.5898764295034155,0.1784766204299676,0.5658914728682171,0.6138613861386139,0.6517857142857143,1.4655138143510236,0.0232558139534883,4,637,230,0.4987549729797697,l2,0.1,liblinear,0.7187583102358984,ECFP_1024_2,0
0.7564912280701754,0.8099397690418135,0.7419354838709677,0.8058252427184466,0.7035087719298245,0.4397063418076632,0.8736842105263158,0.5333333333333333,0.7477477477477478,1.87218045112782,0.0526315789473684,5,712,155,0.496102911666318,l2,0.01,lbfgs,0.6888594194811002,ECFP_1024_2,0
0.7029518072289156,0.7391372921665988,0.6502732240437158,0.6521739130434783,0.655421686746988,0.3105441978967525,0.6,0.7108433734939759,0.7142857142857143,2.075,0.04,1,684,183,0.5211904453591857,l2,0.1,lbfgs,0.7089821745657096,ECFP_1024_2,1
0.6828419328419328,0.7176253729467343,0.653179190751445,0.7087378640776699,0.6389571389571389,0.2830612758769487,0.7373737373737373,0.5405405405405406,0.6822429906542056,1.6048722519310754,0.0,2,694,173,0.5048378162976643,l2,0.1,liblinear,0.6973008870689481,ECFP_1024_2,1
0.6982511467889907,0.7638735271249579,0.7052023121387283,0.7713004484304933,0.6757454128440368,0.3579635433844921,0.7889908256880734,0.5625,0.7543859649122807,1.8034076015727396,0.055045871559633,3,694,173,0.4741502117912429,l2,0.1,liblinear,0.7118477674667905,ECFP_1024_2,1
0.6710304054054054,0.7277762404415412,0.6228571428571429,0.6796116504854369,0.6200028153153153,0.2320417385960714,0.6306306306306306,0.609375,0.7368421052631579,1.6144144144144144,0.0,4,692,175,0.528237609024069,l2,0.01,liblinear,0.6900082124270751,ECFP_1024_2,1
0.6899406435488911,0.7699523259300116,0.6441717791411042,0.6947368421052632,0.6356607310215558,0.2690614567754031,0.6804123711340206,0.5909090909090909,0.7096774193548387,1.6632302405498285,0.0721649484536082,5,704,163,0.5337112000955357,l2,0.1,lbfgs,0.6839058808911154,ECFP_1024_2,1
