feature,pairwise_accuracy,both_correct_rate,n_pairs_dist1,pairwise_acc_dist1,both_correct_dist1,n_pairs_dist2,pairwise_acc_dist2,both_correct_dist2,per_drug_accuracy,per_drug_balanced_accuracy,per_drug_f1_macro,per_drug_f1_weighted,per_drug_mae,per_drug_adjacent_accuracy,per_drug_roc_auc_macro_ovr,per_drug_roc_auc_weighted_ovr
GNN_Soft_Clip_with_Frozen_Teacher_seed2_first_fc,0.3333333333333333,0.1666666666666666,7.0,0.4285714285714285,0.2857142857142857,5.0,0.2,0.0,0.4230769230769231,0.3206349206349206,0.2904761904761905,0.4104395604395604,0.6153846153846154,0.9615384615384615,0.40293916609706065,0.4670592565329407
GNN_Soft_Clip_with_Frozen_Teacher_seed2_second_fc,0.5,0.25,7.0,0.5714285714285714,0.4285714285714285,5.0,0.4,0.0,0.3846153846153846,0.2984126984126984,0.2847503373819163,0.3956711304889442,0.7307692307692307,0.8846153846153847,0.5170236196551986,0.5325726904674272
GNN_Soft_Clip_with_Teacher_seed0_GNN,0.65,0.0,7.0,0.6857142857142857,0.0,5.0,0.6,0.0,0.3538461538461538,0.22476190476190477,0.21716010681527917,0.34850360367601746,0.7,0.9461538461538461,0.3252627781575149,0.407857931542142
GNN_Soft_Clip_with_Teacher_seed0_first_fc,0.6666666666666666,0.0833333333333333,7.0,0.5714285714285714,0.1428571428571428,5.0,0.8,0.0,0.4615384615384615,0.3428571428571428,0.318007662835249,0.44783377541998226,0.6153846153846154,0.9230769230769231,0.41432178932178926,0.48426573426573427
GNN_Soft_Clip_with_Teacher_seed0_second_fc,0.75,0.0,7.0,0.7142857142857143,0.0,5.0,0.8,0.0,0.3846153846153846,0.3698412698412698,0.3592592592592592,0.3927350427350428,0.7307692307692307,0.8846153846153847,0.6060568086883876,0.5850202429149797
GNN_Soft_Clip_with_Teacher_seed1_GNN,0.5,0.0,7.0,0.5714285714285714,0.0,5.0,0.4,0.0,0.4230769230769231,0.2952380952380952,0.2719797596457938,0.398336009341702,0.6538461538461539,0.9230769230769231,0.4027246145667198,0.4472764078027236
GNN_Soft_Clip_with_Teacher_seed1_first_fc,0.5,0.0,7.0,0.4285714285714285,0.0,5.0,0.6,0.0,0.4615384615384615,0.3174603174603174,0.3055555555555555,0.4519230769230769,0.6153846153846154,0.9230769230769231,0.5229513176881598,0.5362532204637467
GNN_Soft_Clip_with_Teacher_seed1_second_fc,0.5833333333333334,0.1666666666666666,7.0,0.8571428571428571,0.2857142857142857,5.0,0.2,0.0,0.4615384615384615,0.43968253968253973,0.4112060778727445,0.47896120973044043,0.7692307692307693,0.7692307692307693,0.5909432672590568,0.6019506808980494
GNN_Soft_Clip_with_Teacher_seed2_GNN,0.5,0.0833333333333333,7.0,0.7142857142857143,0.1428571428571428,5.0,0.2,0.0,0.4615384615384615,0.3174603174603174,0.3039426523297491,0.4440033085194376,0.6538461538461539,0.8846153846153847,0.3969222298169666,0.4840817077659182
GNN_Soft_Clip_with_Teacher_seed2_first_fc,0.5,0.0833333333333333,7.0,0.5714285714285714,0.1428571428571428,5.0,0.4,0.0,0.5,0.4158730158730159,0.3641975308641975,0.47649572649572647,0.6153846153846154,0.8846153846153847,0.4764107237791448,0.5233713654766287
GNN_Soft_Clip_with_Teacher_seed2_second_fc,0.7,0.1666666666666666,7.0,0.9428571428571428,0.2857142857142857,5.0,0.36,0.0,0.4615384615384615,0.46507936507936504,0.434311570782159,0.48333449356073793,0.7230769230769231,0.8153846153846154,0.6105316321105795,0.604158998895841
